paper_id	0	1	2	3	4	decision
gx7TEqAogg8	7.0	5.0	5.0	6.0		Unknown
yYQuqGcxFvb	4.0	6.0	7.0			Unknown
xVQMrDLyGst	6.0	6.0	8.0			Unknown
lwlkxYsGDi	7.0	4.0	3.0			Unknown
HQ-6VDYUxGn	4.0	7.0	5.0			Unknown
kOxP7Fbeduy	6.0	5.0	4.0	4.0	6.0	Unknown
6lE4dQXaUcb	4.0	7.0	7.0			Unknown
KBbxt3JGn0Y	6.0	5.0	7.0			Unknown
q7XJj9_egih	6.0	4.0	5.0			Unknown
Pq8FBz0gZHY	7.0	6.0	7.0			Unknown
hhKA5k0oVy5	6.0	8.0	8.0			Unknown
cbFfF4g9fIy	3.0	4.0	5.0			Unknown
hwjnu6qW7E4	8.0	5.0	8.0			Unknown
HrhaC-bLC5U	6.0	7.0	6.0	4.0		Unknown
4lvu1B4Y0E	6.0	6.0	3.0			Unknown
Ud1K-l71AI2	8.0	7.0	8.0			Unknown
izzQAL8BciY	7.0	6.0	6.0			Unknown
IO7jcf63iDI	5.0	7.0	5.0			Unknown
dA2Q8CfmGpp	5.0	6.0	6.0			Unknown
FNUijta5T-1	4.0	6.0	5.0	9.0		Unknown
DSo2Zteb9l8	4.0	4.0	5.0			Unknown
ip0FhVivoX0	6.0	8.0	5.0			Unknown
3_hgF1NAXU7	4.0	7.0	7.0			Unknown
Nc2uduhU9qa	6.0	10.0	7.0			Unknown
Rtquf4Jk0jN	8.0	8.0	5.0	6.0		Unknown
rX_fl1Gd0k4	5.0	4.0	4.0			Unknown
R07XwJPmgpl	7.0	6.0	6.0			Unknown
fE_gwAAKM7O	5.0	5.0	6.0			Unknown
VtqyY2dvE6h	5.0	6.0	7.0			Unknown
wBOBL5b-aa9	5.0	4.0	4.0			Unknown
BwzYI-KaHdr	5.0	6.0	10.0			Unknown
kUkp7WdUny9	7.0	3.0	6.0			Unknown
pl6xnx3jZMh	5.0	6.0	5.0			Unknown
ogNcxJn32BZ	6.0	7.0	9.0			Unknown
R_CuaMJKvDs	6.0	7.0	3.0	8.0		Unknown
QkOBP-aD1qA	8.0	6.0	4.0			Unknown
skFwlyefkWJ	6.0	6.0	7.0			Unknown
TAdzPkgnnV8	4.0	4.0	6.0			Unknown
PQldd-oUHa8	3.0	2.0	4.0			Unknown
t1kTABPcp9s	4.0	3.0	1.0			Unknown
VdvDlnnjzIN	6.0	6.0	4.0			Unknown
iBLHqLgbRn	5.0	6.0	4.0			Unknown
qMxVrCug4rI	4.0	8.0	4.0			Unknown
Mop0QMT5yei	4.0	5.0	6.0			Unknown
B-d4pw2JdT	6.0	4.0	3.0			Unknown
YJHXfcTDaqw	4.0	3.0	3.0			Unknown
vyyHxhnZJSB	5.0	7.0	5.0			Unknown
ldUthK0EVx8	4.0	3.0	5.0			Unknown
70XgWMiBeH7	3.0	4.0	3.0			Unknown
AcL1ORzw0Nf	5.0	4.0	6.0	4.0		Unknown
7hQLXPnfrqk	4.0	6.0	4.0			Unknown
TUplOmF8DsM	4.0	6.0	5.0			Unknown
GfWRFRuO51B	6.0	5.0	8.0			Unknown
LL_LfK7dfpR	4.0	5.0	6.0	5.0		Unknown
cIrPX-Sn5n	7.0	8.0	6.0	6.0	5.0	Unknown
fYxEnpY-__G	6.0	6.0	5.0			Unknown
CYhs2XrEFNA	5.0	3.0	4.0			Unknown
4Y3vzl_NEyG	6.0	6.0	5.0			Unknown
xZWBVuL_ip9	4.0	3.0	5.0			Unknown
9_eyi9ymJcZ	6.0	7.0	6.0			Unknown
X-sH548WreZ	6.0	8.0	4.0			Unknown
yJyIjWyPJgs	7.0	6.0	5.0			Unknown
aEMLMjbvftN	5.0	5.0	5.0			Unknown
h-flVCIlstW	6.0	8.0	7.0			Unknown
VjJxBi1p9zh	8.0	7.0	4.0			Unknown
-wVVl_UPr8	7.0	7.0	6.0			Unknown
0OyT3oVv_Rk	3.0	5.0	5.0			Unknown
3ZQqjt_Q6b	7.0	7.0	7.0			Unknown
48CBzhshpcS	6.0	4.0	5.0	6.0		Unknown
cB3OdLInAr9	6.0	5.0	6.0	8.0		Unknown
nlJ1rV6G_Iq	7.0	6.0	8.0			Unknown
6lYwZ6yknRw	5.0	4.0	7.0			Unknown
rCRyg1-Yovi	4.0	4.0	4.0			Unknown
SnC9rUeqiqd	6.0	8.0	6.0			Unknown
aAMgwCmP930	6.0	6.0	5.0			Unknown
8HkbjXqbAnz	5.0	4.0	4.0			Unknown
NqErRNg_8Fb	3.0	4.0	7.0	5.0		Unknown
5Str2l1vmr-	6.0	7.0	5.0	5.0		Unknown
fe_hCc4RBrg	8.0	8.0	8.0			Unknown
tNMPcy9PovC	5.0	5.0	8.0			Unknown
saUHJ1iZhiO	6.0	6.0	5.0	6.0		Unknown
pBwQ82pYha	7.0	5.0	3.0			Unknown
lg3iGvFQ5V	6.0	5.0	5.0			Unknown
ps95-mkHF_	6.0	7.0	8.0			Unknown
xiFJn0fbFX9	7.0	7.0	4.0			Unknown
f5zF1mgCLR0	5.0	4.0	5.0			Unknown
ktkr1GgZrK4	4.0	3.0	3.0			Unknown
OTnqQUEwPKu	6.0	6.0	7.0			Unknown
Uk2mymgn_LZ	6.0	7.0	6.0	5.0		Unknown
99P5Hbti02	6.0	6.0	5.0			Unknown
aH0NedstEei	6.0	6.0	6.0			Unknown
bKBhQhPeKaF	6.0	6.0	6.0			Unknown
ooWbKrRIk9G	6.0	6.0	4.0			Unknown
dtjnxfS9OE4	5.0	5.0	8.0	2.0		Unknown
XccDXrDNLek	7.0	10.0	8.0			Unknown
pOf_IV_-XG	5.0	3.0	3.0			Unknown
JH61CD7afTv	7.0	7.0	8.0			Unknown
aIfp8kLuvc9	7.0	7.0	8.0			Unknown
qF7FlUT5dxa	7.0	7.0	10.0			Unknown
IsK8iKbL-I	7.0	5.0	6.0			Unknown
9E3dTIMxL8S	8.0	5.0	6.0			Unknown
oRHIGl9PMxj	8.0	4.0	4.0			Unknown
s6M0gjo0rL0	5.0	5.0	6.0			Unknown
dA2Iov0Ecxt	8.0	5.0	4.0			Unknown
GVe2IvtZtVY	5.0	8.0	5.0			Unknown
r8IvOsnHchr	5.0	6.0	7.0			Unknown
FkDZLpK1Ml2	9.0	9.0	7.0			Unknown
NevK78-K4bZ	6.0	7.0	8.0			Unknown
Yx9jT3fkBaD	7.0	7.0	7.0			Unknown
xfeO8f9gLT0	7.0	5.0	6.0			Unknown
mHrF3-r8-8t	4.0	6.0	5.0			Unknown
VjFn0L5T7NU	7.0	4.0	4.0			Unknown
tjZjv_qh_CE	4.0	6.0	4.0	6.0		Unknown
dTxWk9K5KC	3.0	3.0	2.0			Unknown
1Y9fPheTgpp	5.0	5.0	5.0			Unknown
oUg5rC_95OM	6.0	6.0	6.0			Unknown
pY9MHwmrymR	7.0	7.0	5.0			Unknown
pMWtc5NKd7V	9.0	9.0	9.0	7.0		Unknown
LZ5cx2yismf	6.0	6.0	7.0			Unknown
R8CwidgJ0yT	8.0	5.0	7.0			Unknown
8nvgnORnoWr	9.0	8.0	4.0			Unknown
yl9aThYT9W	6.0	5.0	6.0			Unknown
8RxxwAut1BI	7.0	6.0	5.0			Unknown
Blmvlo-yRR9	6.0	4.0	3.0			Unknown
1xDTDk3XPW	7.0	8.0	9.0			Unknown
eOOiCyZ_h9f	5.0	7.0	5.0			Unknown
EHfBhk6IkYF	5.0	6.0	6.0			Unknown
LqRSh6V0vR	4.0	6.0	7.0	8.0		Unknown
db1InWAwW2T	6.0	9.0	6.0			Unknown
CXyZrKPz4CU	9.0	4.0	6.0			Unknown
vDilkBNNbx6	6.0	8.0	7.0			Unknown
qeM58whnpXM	8.0	9.0	6.0			Unknown
erOBVUgvryF	5.0	6.0	6.0			Unknown
JNvy4qBcxHW	4.0	6.0	5.0			Unknown
CSi1eu_2q96	7.0	6.0	9.0			Unknown
